hardware_spec,embedding_index,horizon,diff
fake_brooklyn,0,4,0.0
fake_brooklyn,0,5,0.0
fake_brooklyn,0,6,0.0
fake_brooklyn,0,7,0.0
fake_brooklyn,1,4,0.0
fake_brooklyn,1,5,0.0
fake_brooklyn,1,6,0.0
fake_brooklyn,1,7,0.0
fake_brooklyn,2,4,0.0
fake_brooklyn,2,5,0.0
fake_brooklyn,2,6,0.0
fake_brooklyn,2,7,0.0
fake_brooklyn,3,4,0.0
fake_brooklyn,3,5,0.0
fake_brooklyn,3,6,0.0
fake_brooklyn,3,7,0.0
fake_brooklyn,4,4,0.0
fake_brooklyn,4,5,0.0
fake_brooklyn,4,6,0.0
fake_brooklyn,4,7,0.0
fake_brooklyn,5,4,0.0
fake_brooklyn,5,5,0.0
fake_brooklyn,5,6,0.0
fake_brooklyn,5,7,0.0
fake_manhattan,0,4,0.0
fake_manhattan,0,5,0.0
fake_manhattan,0,6,0.0
fake_manhattan,0,7,0.0
fake_manhattan,1,4,0.0
fake_manhattan,1,5,0.0
fake_manhattan,1,6,0.0
fake_manhattan,1,7,0.0
fake_manhattan,2,4,0.0
fake_manhattan,2,5,0.0
fake_manhattan,2,6,0.0
fake_manhattan,2,7,0.0
fake_manhattan,3,4,0.0
fake_manhattan,3,5,0.0
fake_manhattan,3,6,0.0
fake_manhattan,3,7,0.0
fake_manhattan,4,4,0.0
fake_manhattan,4,5,0.0
fake_manhattan,4,6,0.0
fake_manhattan,4,7,0.0
fake_manhattan,5,4,0.0
fake_manhattan,5,5,0.0
fake_manhattan,5,6,0.0
fake_manhattan,5,7,0.0
fake_manhattan,6,4,0.0
fake_manhattan,6,5,0.0
fake_manhattan,6,6,0.0
fake_manhattan,6,7,0.0
fake_athens,0,4,0.0
fake_athens,0,5,0.0
fake_athens,0,6,0.0
fake_athens,0,7,0.0
fake_athens,1,4,0.0
fake_athens,1,5,0.0
fake_athens,1,6,0.0
fake_athens,1,7,0.0
fake_athens,2,4,0.0
fake_athens,2,5,0.0
fake_athens,2,6,0.0
fake_athens,2,7,0.0
fake_belem,0,4,0.0
fake_belem,0,5,0.0
fake_belem,0,6,0.0
fake_belem,0,7,0.0
fake_belem,1,4,0.0
fake_belem,1,5,0.0
fake_belem,1,6,0.0
fake_belem,1,7,0.0
fake_belem,2,4,0.0
fake_belem,2,5,0.0
fake_belem,2,6,0.0
fake_belem,2,7,0.0
fake_bogota,0,4,0.0
fake_bogota,0,5,0.0
fake_bogota,0,6,0.0
fake_bogota,0,7,0.0
fake_bogota,1,4,0.0
fake_bogota,1,5,0.0
fake_bogota,1,6,0.0
fake_bogota,1,7,0.0
fake_bogota,2,4,0.0
fake_bogota,2,5,0.0
fake_bogota,2,6,0.0
fake_bogota,2,7,0.0
fake_burlington,0,4,0.0
fake_burlington,0,5,0.0
fake_burlington,0,6,0.0
fake_burlington,0,7,0.0
fake_burlington,1,4,0.0
fake_burlington,1,5,0.0
fake_burlington,1,6,0.0
fake_burlington,1,7,0.0
fake_burlington,2,4,0.0
fake_burlington,2,5,0.0
fake_burlington,2,6,0.0
fake_burlington,2,7,0.0
fake_essex,0,4,0.0
fake_essex,0,5,0.0
fake_essex,0,6,0.0
fake_essex,0,7,0.0
fake_essex,1,4,0.0
fake_essex,1,5,0.0
fake_essex,1,6,0.0
fake_essex,1,7,0.0
fake_essex,2,4,0.0
fake_essex,2,5,0.0
fake_essex,2,6,0.0
fake_essex,2,7,0.0
fake_lima,0,4,0.0
fake_lima,0,5,0.0
fake_lima,0,6,0.0
fake_lima,0,7,0.0
fake_lima,1,4,0.0
fake_lima,1,5,0.0
fake_lima,1,6,0.0
fake_lima,1,7,0.0
fake_lima,2,4,0.0
